metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.93761,0.87719,0.942,0.80538,0.60801,0.44446,0.97402,33,1763393701,,False,33,35bf4_00009,2025-11-17_10-35-01,91.07528734207153,3017.9260818958282,20324,LAPTOP-2DUVSE15,127.0.0.1,3017.9260818958282,33
0.94782,0.8583,0.94096,0.79716,0.63128,0.4425,0.97937,34,1763393791,,False,34,35bf4_00009,2025-11-17_10-36-31,90.26223540306091,3108.188317298889,20324,LAPTOP-2DUVSE15,127.0.0.1,3108.188317298889,34
0.92268,0.86051,0.93622,0.7934,0.61719,0.46198,0.97126,35,1763393883,,False,35,35bf4_00009,2025-11-17_10-38-03,91.18949627876282,3199.377813577652,20324,LAPTOP-2DUVSE15,127.0.0.1,3199.377813577652,35
0.94102,0.85803,0.9415,0.80685,0.6061,0.43446,0.96211,36,1763393974,,False,36,35bf4_00009,2025-11-17_10-39-34,91.03154945373535,3290.4093630313873,20324,LAPTOP-2DUVSE15,127.0.0.1,3290.4093630313873,36
0.9403,0.88021,0.94292,0.80634,0.60798,0.44966,0.96856,37,1763394064,,False,37,35bf4_00009,2025-11-17_10-41-04,90.36876893043518,3380.7781319618225,20324,LAPTOP-2DUVSE15,127.0.0.1,3380.7781319618225,37
0.92361,0.8855,0.94244,0.8057,0.60847,0.43104,0.96945,38,1763394155,,False,38,35bf4_00009,2025-11-17_10-42-35,90.71278190612793,3471.4909138679504,20324,LAPTOP-2DUVSE15,127.0.0.1,3471.4909138679504,38
0.94032,0.87428,0.93935,0.80231,0.61784,0.43501,0.9687,39,1763394246,,False,39,35bf4_00009,2025-11-17_10-44-06,90.70758891105652,3562.198502779007,20324,LAPTOP-2DUVSE15,127.0.0.1,3562.198502779007,39
0.94225,0.86821,0.94493,0.81171,0.59381,0.42038,0.9652,40,1763394335,,False,40,35bf4_00009,2025-11-17_10-45-35,89.49457263946533,3651.6930754184723,20324,LAPTOP-2DUVSE15,127.0.0.1,3651.6930754184723,40
0.92428,0.88206,0.93951,0.80797,0.60093,0.43057,0.96033,41,1763394426,,False,41,35bf4_00009,2025-11-17_10-47-06,90.96509385108948,3742.6581692695618,20324,LAPTOP-2DUVSE15,127.0.0.1,3742.6581692695618,41
0.9565,0.88961,0.95396,0.82057,0.59308,0.39823,0.96466,42,1763394517,,False,42,35bf4_00009,2025-11-17_10-48-37,90.87024641036987,3833.5284156799316,20324,LAPTOP-2DUVSE15,127.0.0.1,3833.5284156799316,42
