epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1175.36,0.58988,0.66633,0.98719,0.92029,0.88218,0.93572,0.7991,0.6004,0.44001,0.98066,0.007327,0.007327,0.007327
56,1196.45,0.59502,0.65383,0.99366,0.94529,0.86434,0.93291,0.79721,0.6166,0.43257,0.98598,0.0072775,0.0072775,0.0072775
57,1217.52,0.59138,0.66344,0.99267,0.95235,0.87821,0.94133,0.80601,0.60762,0.41918,0.97573,0.007228,0.007228,0.007228
58,1238.47,0.58516,0.65502,0.98758,0.95047,0.86532,0.94155,0.80415,0.60007,0.4178,0.97594,0.0071785,0.0071785,0.0071785
59,1259.45,0.59315,0.66941,0.99124,0.93771,0.88433,0.94737,0.8075,0.60317,0.40111,0.98205,0.007129,0.007129,0.007129
60,1280.59,0.58264,0.65712,0.98621,0.92472,0.86716,0.937,0.80146,0.6034,0.43522,0.97892,0.0070795,0.0070795,0.0070795
61,1302.24,0.58343,0.64865,0.98522,0.94634,0.89307,0.94895,0.81124,0.60065,0.40748,0.98211,0.00703,0.00703,0.00703
62,1323.52,0.58506,0.6449,0.9836,0.94705,0.88725,0.94707,0.81132,0.59115,0.39925,0.9717,0.0069805,0.0069805,0.0069805
63,1344.55,0.58185,0.6455,0.98647,0.95562,0.87522,0.94757,0.81649,0.60401,0.3991,0.98012,0.006931,0.006931,0.006931
64,1365.63,0.58491,0.6444,0.98679,0.9341,0.90059,0.95145,0.81154,0.60205,0.39962,0.98321,0.0068815,0.0068815,0.0068815
65,1386.38,0.5793,0.63645,0.98151,0.93599,0.89876,0.94812,0.81325,0.59548,0.3949,0.97546,0.006832,0.006832,0.006832
66,1407.68,0.57311,0.63935,0.98892,0.95387,0.89645,0.94692,0.81305,0.58928,0.39427,0.97578,0.0067825,0.0067825,0.0067825
67,1429.11,0.57244,0.634,0.98307,0.95589,0.88614,0.95002,0.8165,0.59292,0.39748,0.97506,0.006733,0.006733,0.006733
68,1449.98,0.58055,0.63039,0.99103,0.95229,0.88364,0.95116,0.81117,0.58802,0.38604,0.97225,0.0066835,0.0066835,0.0066835
69,1471.06,0.57842,0.62614,0.98402,0.94022,0.89572,0.94677,0.80489,0.60066,0.39643,0.97789,0.006634,0.006634,0.006634
70,1492.41,0.57506,0.61635,0.98432,0.96199,0.87749,0.94557,0.80818,0.58814,0.38539,0.97277,0.0065845,0.0065845,0.0065845
71,1513.61,0.56766,0.60951,0.98099,0.94029,0.89647,0.95296,0.81739,0.58701,0.38772,0.97411,0.006535,0.006535,0.006535
72,1534.9,0.56713,0.6008,0.9787,0.94907,0.9112,0.95438,0.8204,0.5871,0.37455,0.96556,0.0064855,0.0064855,0.0064855
73,1556.07,0.56463,0.62716,0.97768,0.96057,0.89909,0.95406,0.81636,0.58658,0.37388,0.97514,0.006436,0.006436,0.006436
74,1577.09,0.56936,0.60485,0.98231,0.95896,0.89217,0.95236,0.81692,0.58875,0.37431,0.96849,0.0063865,0.0063865,0.0063865
75,1598.31,0.56716,0.60939,0.98583,0.95759,0.90611,0.9533,0.81728,0.58853,0.36838,0.96926,0.006337,0.006337,0.006337
76,1619.51,0.57661,0.61524,0.98278,0.96461,0.89323,0.95669,0.81847,0.58512,0.36761,0.96387,0.0062875,0.0062875,0.0062875
77,1640.59,0.56924,0.60621,0.98059,0.95644,0.89645,0.95878,0.82053,0.57932,0.36563,0.96559,0.006238,0.006238,0.006238
78,1662.13,0.56256,0.60504,0.97467,0.96445,0.90039,0.95283,0.81715,0.58893,0.37479,0.97324,0.0061885,0.0061885,0.0061885
79,1683.27,0.56291,0.59819,0.97584,0.96448,0.89297,0.95837,0.82162,0.57995,0.36929,0.97002,0.006139,0.006139,0.006139
80,1704.43,0.56809,0.59536,0.97375,0.95467,0.89117,0.94755,0.81654,0.58553,0.36884,0.97217,0.0060895,0.0060895,0.0060895
81,1725.63,0.55629,0.5826,0.97644,0.95946,0.89924,0.94699,0.81517,0.58294,0.38022,0.96675,0.00604,0.00604,0.00604
82,1746.92,0.55567,0.58273,0.97517,0.96128,0.9071,0.95805,0.82001,0.58075,0.3568,0.96556,0.0059905,0.0059905,0.0059905
83,1768.83,0.56019,0.58725,0.97447,0.96165,0.89689,0.95588,0.82168,0.58075,0.35833,0.96836,0.005941,0.005941,0.005941
84,1790.01,0.54995,0.57997,0.96926,0.95487,0.89474,0.95563,0.82235,0.57878,0.36424,0.96745,0.0058915,0.0058915,0.0058915
85,1811.07,0.55368,0.58648,0.97691,0.95998,0.89876,0.95945,0.82572,0.58218,0.3623,0.96443,0.005842,0.005842,0.005842
86,1832.08,0.55651,0.57113,0.96993,0.95012,0.90765,0.96246,0.83084,0.57461,0.3529,0.96594,0.0057925,0.0057925,0.0057925
87,1853.33,0.55262,0.57544,0.97152,0.95351,0.91668,0.96029,0.82268,0.5805,0.35702,0.96466,0.005743,0.005743,0.005743
88,1874.25,0.55716,0.57387,0.96744,0.95526,0.89902,0.95518,0.82269,0.57418,0.36147,0.96299,0.0056935,0.0056935,0.0056935
89,1895.34,0.54881,0.56998,0.96877,0.9577,0.906,0.96054,0.82535,0.5715,0.34019,0.95804,0.005644,0.005644,0.005644
90,1916.43,0.55303,0.57696,0.96818,0.95027,0.91757,0.96233,0.8281,0.58035,0.35034,0.96438,0.0055945,0.0055945,0.0055945
91,1937.46,0.54752,0.56381,0.97017,0.96661,0.9101,0.96482,0.82883,0.58005,0.34191,0.96286,0.005545,0.005545,0.005545
92,1960.09,0.54541,0.56917,0.966,0.94663,0.92795,0.96312,0.82758,0.57394,0.34331,0.96369,0.0054955,0.0054955,0.0054955
93,1990.03,0.56017,0.57801,0.97274,0.96044,0.92219,0.96256,0.8259,0.57678,0.34134,0.96425,0.005446,0.005446,0.005446
94,2019.71,0.54996,0.56865,0.96794,0.94508,0.91849,0.96042,0.82598,0.57605,0.3481,0.95975,0.0053965,0.0053965,0.0053965
95,2043.57,0.55097,0.55698,0.97319,0.95634,0.91203,0.96407,0.8306,0.56855,0.34463,0.95942,0.005347,0.005347,0.005347
96,2064.81,0.54616,0.56517,0.96926,0.96979,0.90826,0.9646,0.83087,0.58462,0.34769,0.96803,0.0052975,0.0052975,0.0052975
97,2085.92,0.54054,0.55041,0.96957,0.96415,0.90773,0.9621,0.82644,0.57548,0.3519,0.9618,0.005248,0.005248,0.005248
98,2107,0.53885,0.55394,0.96654,0.96365,0.91019,0.96206,0.83133,0.57547,0.33647,0.95777,0.0051985,0.0051985,0.0051985
99,2128.15,0.54653,0.55886,0.96372,0.9632,0.90267,0.96373,0.82747,0.57535,0.34788,0.96406,0.005149,0.005149,0.005149
100,2149.44,0.53341,0.5439,0.96459,0.97123,0.90251,0.96349,0.82873,0.5724,0.33373,0.95974,0.0050995,0.0050995,0.0050995
101,2170.54,0.53741,0.55878,0.96619,0.96879,0.89875,0.96449,0.8307,0.56678,0.34392,0.95299,0.00505,0.00505,0.00505
102,2191.66,0.53534,0.52837,0.96671,0.96551,0.91398,0.9643,0.83033,0.56946,0.32975,0.95691,0.0050005,0.0050005,0.0050005
103,2212.53,0.53685,0.54062,0.96512,0.95897,0.91951,0.96427,0.83422,0.56592,0.33199,0.95679,0.004951,0.004951,0.004951
104,2233.44,0.53878,0.54735,0.96489,0.94908,0.91808,0.96134,0.82817,0.56816,0.32804,0.96026,0.0049015,0.0049015,0.0049015
105,2254.52,0.54963,0.55384,0.96678,0.9611,0.91964,0.96162,0.83161,0.56969,0.33429,0.96014,0.004852,0.004852,0.004852
106,2275.69,0.53336,0.5423,0.96553,0.95082,0.9267,0.96551,0.83763,0.5648,0.32781,0.95232,0.0048025,0.0048025,0.0048025
107,2296.79,0.53328,0.52663,0.96356,0.96254,0.9151,0.96318,0.83482,0.56728,0.32884,0.95708,0.004753,0.004753,0.004753
108,2317.78,0.53056,0.52592,0.96422,0.96025,0.90947,0.96397,0.83038,0.56786,0.33111,0.95335,0.0047035,0.0047035,0.0047035
109,2338.66,0.53217,0.52781,0.96766,0.96024,0.91468,0.96332,0.83502,0.57285,0.32894,0.96659,0.004654,0.004654,0.004654
110,2359.73,0.5301,0.53083,0.95876,0.94902,0.91898,0.9614,0.83628,0.56515,0.33577,0.95715,0.0046045,0.0046045,0.0046045
111,2381.16,0.52618,0.53321,0.96177,0.95215,0.92533,0.96293,0.83222,0.56661,0.33217,0.95526,0.004555,0.004555,0.004555
112,2402.33,0.53522,0.53128,0.96468,0.9672,0.91086,0.96093,0.83185,0.56545,0.33037,0.95842,0.0045055,0.0045055,0.0045055
113,2423.46,0.52492,0.52771,0.96326,0.9506,0.9111,0.96113,0.82959,0.56558,0.33691,0.9553,0.004456,0.004456,0.004456
114,2444.62,0.53085,0.52817,0.96507,0.95281,0.92404,0.96434,0.8293,0.56227,0.32534,0.95377,0.0044065,0.0044065,0.0044065
115,2465.59,0.53267,0.52469,0.96458,0.96119,0.91979,0.96501,0.83387,0.56785,0.32824,0.95611,0.004357,0.004357,0.004357
116,2486.58,0.5255,0.52119,0.96072,0.96273,0.92735,0.96644,0.83702,0.56936,0.3228,0.9542,0.0043075,0.0043075,0.0043075
117,2508.02,0.52321,0.50795,0.95809,0.96429,0.91924,0.96734,0.83818,0.56762,0.3235,0.95822,0.004258,0.004258,0.004258
118,2528.84,0.51462,0.49084,0.9547,0.95352,0.92201,0.96649,0.83403,0.56648,0.32189,0.95473,0.0042085,0.0042085,0.0042085
119,2549.96,0.52388,0.51697,0.95769,0.94895,0.93186,0.96606,0.8332,0.5654,0.32133,0.95099,0.004159,0.004159,0.004159
120,2570.87,0.51989,0.50869,0.96023,0.94552,0.93081,0.96693,0.83186,0.5577,0.31542,0.95526,0.0041095,0.0041095,0.0041095
121,2591.82,0.52501,0.50574,0.95772,0.9626,0.90408,0.96375,0.8341,0.56235,0.31971,0.95739,0.00406,0.00406,0.00406
122,2613.13,0.51964,0.50663,0.95295,0.94091,0.93329,0.965,0.83312,0.56582,0.32017,0.95904,0.0040105,0.0040105,0.0040105
123,2634.32,0.51656,0.49593,0.95398,0.94892,0.9302,0.96478,0.83386,0.56277,0.32581,0.95564,0.003961,0.003961,0.003961
124,2655.3,0.51181,0.49361,0.95083,0.95006,0.93094,0.96218,0.83125,0.56295,0.3219,0.95536,0.0039115,0.0039115,0.0039115
125,2676.35,0.51446,0.50084,0.95465,0.95276,0.94026,0.96753,0.8349,0.56025,0.31483,0.95786,0.003862,0.003862,0.003862
126,2697.33,0.51854,0.50209,0.95784,0.94912,0.93535,0.96488,0.8353,0.56381,0.31573,0.95659,0.0038125,0.0038125,0.0038125
127,2718.33,0.51887,0.50509,0.95844,0.967,0.91883,0.9649,0.83567,0.56175,0.31713,0.95271,0.003763,0.003763,0.003763
128,2739.7,0.51226,0.49577,0.95618,0.96308,0.94487,0.97021,0.83929,0.56169,0.31037,0.95374,0.0037135,0.0037135,0.0037135
129,2760.98,0.51286,0.49211,0.95261,0.95558,0.9298,0.96761,0.83972,0.55973,0.30811,0.95292,0.003664,0.003664,0.003664
130,2782.08,0.50299,0.49295,0.94621,0.9618,0.93357,0.96883,0.83821,0.55849,0.31195,0.95332,0.0036145,0.0036145,0.0036145
